1011	1055	a	a
1055	1129	n	n
1129	1216	i	i
1216	1299	c	c
1299	17	V	&
1016	1070	a	a
1070	1154	l	l
1154	1243	k	k
1243	17	V	&
1005	1041	l	l
1041	1108	e	e
1108	1195	e	e
1195	17	V	&
1013	1061	c	c
1061	1143	r	r
1143	1232	e	e
1232	1315	a	a
1315	1388	m	m
1388	17	V	&
1003	1031	i	i
1031	1094	s	s
1094	1181	a	a
1181	1270	p	p
1270	1348	p	p
1348	1412	o	o
1412	1463	i	i
1463	1495	n	n
1495	1519	t	t
1519	17	V	&
1002	1026	a	a
1026	1084	r	r
1084	1168	e	e
1168	17	V	&
1003	1029	r	r
1029	1092	e	e
1092	1179	a	a
1179	1268	m	m
1268	17	V	&
